4.000000 0.000000e+00 0.000000e+00  4.000000e-06
16.000000 4.000000e-06 4.000000e-06  0.000000e+00
64.000000 4.000000e-06 4.000000e-06  4.000000e-06
256.000000 8.000000e-06 8.000000e-06  8.000000e-06
1024.000000 1.600000e-05 1.600000e-05  2.400000e-05
4096.000000 4.000000e-05 4.000000e-05  1.000000e-04
16384.000000 1.400000e-04 1.400000e-04  4.480000e-04
65536.000000 5.880000e-04 5.880000e-04  1.776000e-03
262144.000000 2.364000e-03 2.364000e-03  2.364000e-03
1048576.000000 2.074562e-317 2.074562e-317  2.074561e-317
